"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"63","RT @Jim_Jordan: Fauci wasn’t honest about #COVID. 

And Biden’s ATF director wants to take your guns. 

Americans are tired of unelected “e…",FALSE,0,NA,2023-04-27 05:53:15,FALSE,NA,"1651464506101452800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deannaparker912",1691,TRUE,FALSE,NA,NA
"64","RT @bambkb: 🚨🚨🚨This lady claims that your life span is greatly reduced after #Covid #Vaccination 😞 https://t.co/Oamfsoa5ZG",FALSE,0,NA,2023-04-27 05:52:09,FALSE,NA,"1651464229306638337",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SueAndr83745459",27,TRUE,FALSE,NA,NA
"65","RT @litecoin_bull: LCB has friends In Australia.

Where Are Our Haters Who Laughed At Us. People Dying.

Australian Senator admits Covid wa…",FALSE,0,NA,2023-04-27 05:52:04,FALSE,NA,"1651464209073336321",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","frogpondRN",137,TRUE,FALSE,NA,NA
"66","RT @Jim_Jordan: Fauci wasn’t honest about #COVID. 

And Biden’s ATF director wants to take your guns. 

Americans are tired of unelected “e…",FALSE,0,NA,2023-04-27 05:52:00,FALSE,NA,"1651464192229261313",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CarolHu77737144",1691,TRUE,FALSE,NA,NA
"67","RT @flairforstyle: This musical artist sheds light on the inhumane conditions and human suffering that took place in nursing homes during t…",FALSE,0,NA,2023-04-27 05:51:39,FALSE,NA,"1651464102403887105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A_R_TforPEACE",102,TRUE,FALSE,NA,NA
"68","RT @ellymelly: I notice that ZERO MSM and government-funded broadcasting entities have apologised for spreading wall-to-wall fake news and…",FALSE,0,NA,2023-04-27 05:50:56,FALSE,NA,"1651463922300633088",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ChezWWG1WGA",59,TRUE,FALSE,NA,NA
"69","RT @SpectatorOz: 'Is this the way the #Covid vaccines end?' asks Rebecca Weisser.

This week, his brother Phil was one of over 500 people w…",FALSE,0,NA,2023-04-27 05:50:47,FALSE,NA,"1651463885776646145",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Greg21143362",11,TRUE,FALSE,NA,NA
"70","RT @LongCovidHell: ""We were surprised to observe such a decline in vascular health, which deteriorated even further with time since Covid-1…",FALSE,0,NA,2023-04-27 05:50:22,FALSE,NA,"1651463780453216256",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Labourdave",88,TRUE,FALSE,NA,NA
"71","“We would like to remind inbound and outbound travelers to look after their health in the run-up to their departure… https://t.co/hHtDCqISI9",FALSE,0,"Chinar07229978",2023-04-27 05:50:09,TRUE,"1651463722253303808","1651463725705216000","1480870711606464513","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Chinar07229978",0,FALSE,FALSE,NA,NA
"72","RT @SpectatorOz: 'Is this the way the #Covid vaccines end?' asks Rebecca Weisser.

This week, his brother Phil was one of over 500 people w…",FALSE,0,NA,2023-04-27 05:50:00,FALSE,NA,"1651463686295367680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","parrotfan",11,TRUE,FALSE,NA,NA
"73","RT @bambkb: 🚨🚨🚨 🇺🇸 USA DMED database shows DISTURBING increases in morbidity after #Covid #Vaccine uptake :

Myocarditis 2800%

Various can…",FALSE,0,NA,2023-04-27 05:49:18,FALSE,NA,"1651463513129328641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CatherineHealer",184,TRUE,FALSE,NA,NA
"74","RT @litecoin_bull: LCB has friends In Australia.

Where Are Our Haters Who Laughed At Us. People Dying.

Australian Senator admits Covid wa…",FALSE,0,NA,2023-04-27 05:48:56,FALSE,NA,"1651463418371506176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fairclare57",137,TRUE,FALSE,NA,NA
"75","@BuenoForMiami Created the #covid vaccine and tests, which very likely had kept my immune compromised spouse alive",FALSE,0,"BuenoForMiami",2023-04-27 05:48:07,FALSE,"1651342620784746496","1651463215522668544","829443865065185281","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CrispinCowan0",0,FALSE,FALSE,NA,NA
"76","RT @Jim_Jordan: Fauci wasn’t honest about #COVID. 

And Biden’s ATF director wants to take your guns. 

Americans are tired of unelected “e…",FALSE,0,NA,2023-04-27 05:47:58,FALSE,NA,"1651463174745636864",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","JoannaLofaso",1691,TRUE,FALSE,NA,NA
"77","I got really annoyed listening to the Chinese women on @GMB talking about her culture having respect for their pare… https://t.co/lOvtDLQ2Ul",FALSE,1,NA,2023-04-27 05:47:36,TRUE,NA,"1651463084630851585",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","tammilne61",0,FALSE,FALSE,NA,NA
"78","RT @bambkb: 🚨🚨🚨 🇺🇸 USA DMED database shows DISTURBING increases in morbidity after #Covid #Vaccine uptake :

Myocarditis 2800%

Various can…",FALSE,0,NA,2023-04-27 05:47:32,FALSE,NA,"1651463066934976512",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sostechsyahooc1",184,TRUE,FALSE,NA,NA
